participant_id,cohort,url
P001,AB,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P001&cohort=AB
P002,BA,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P002&cohort=BA
P003,AB,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P003&cohort=AB
P004,AB,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P004&cohort=AB
P005,BA,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P005&cohort=BA
P006,AB,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P006&cohort=AB
P007,AB,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P007&cohort=AB
P008,AB,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P008&cohort=AB
P009,AB,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P009&cohort=AB
P010,AB,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P010&cohort=AB
P011,AB,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P011&cohort=AB
P012,BA,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P012&cohort=BA
P013,BA,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P013&cohort=BA
P014,BA,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P014&cohort=BA
P015,BA,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P015&cohort=BA
P016,BA,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P016&cohort=BA
P017,BA,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P017&cohort=BA
P018,BA,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P018&cohort=BA
P019,AB,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P019&cohort=AB
P020,BA,https://nemifi.github.io/mystery-prince/?study=wave1&participant=P020&cohort=BA
